Unnamed: 0,id,Book_length(mins)_avg,Book_length(mins)_overall,Price_avg,Price_overall,Review,Review10/10,Completion,Minutes_listened,Support_Request,Last_Visited_mins_Purchase_date,Target,Number_of_Books,Sort_Approch_Segment
110,22887,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
111,26439,2160.0,2160,104.0,104.0,0,,0.0,0.0,0,0,0,1,3
112,27278,1620.0,1620,5.33,5.33,0,,0.28,453.6,0,0,0,1,1
113,27395,2160.0,2160,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
114,29290,1080.0,1080,12.8,12.8,0,,0.74,799.2,1,17,0,1,15
115,30116,2160.0,2160,5.33,5.33,0,,0.34,734.4,0,210,0,1,23
116,30363,324.0,324,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
117,33158,2160.0,2160,10.13,10.13,0,,0.89,1922.4,0,10,0,1,15
118,873,2160.0,2160,10.13,10.13,0,,0.0,0.0,0,0,1,1,3
119,1713,1080.0,1080,7.87,7.87,0,,0.0,0.0,0,45,0,1,17
120,1807,324.0,324,10.13,10.13,0,,0.86,278.64,1,17,0,1,15
121,2388,1620.0,1620,10.13,10.13,0,,0.68,1101.6,1,301,0,1,27
122,3580,2160.0,2160,7.08,7.08,0,,0.08,172.8,0,109,0,1,20
123,3968,2160.0,2160,5.33,5.33,0,,0.01,21.6,0,355,0,1,25
124,4365,648.0,648,19.73,19.73,0,,0.0,0.0,0,0,0,1,3
125,4422,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,74,0,1,19
126,5077,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
127,5082,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
128,7530,2160.0,2160,10.13,10.13,1,8.0,0.0,0.0,0,251,1,1,27
129,10959,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
130,11215,324.0,324,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
131,11582,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,152,1,1,22
132,13093,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
133,14182,1620.0,1620,5.33,5.33,0,,0.09,145.8,0,104,0,1,19
134,14549,2160.0,2160,5.33,5.33,0,,0.04,86.4,0,28,0,1,16
135,18398,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,51,0,1,16
136,19277,2160.0,2160,5.97,5.97,0,,0.02,43.2,0,72,0,1,20
137,20203,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
138,21947,2160.0,2160,4.1,4.1,0,,0.0,0.0,0,0,0,1,1
139,22903,1080.0,1080,10.13,10.13,1,8.0,1.0,1080.0,0,111,0,1,21
140,27449,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
141,27951,1620.0,1620,10.13,10.13,0,,0.05,81.0,0,22,0,1,15
142,30204,1890.0,3780,10.13,20.27,0,,0.0,0.0,0,251,1,2,27
143,30674,1242.0,2484,5.33,10.67,0,,0.0,0.0,0,101,1,2,27
144,31893,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,353,0,1,25
145,33185,2160.0,2160,25.6,25.6,0,,0.03,64.8,0,0,0,1,3
146,558,648.0,648,10.13,10.13,1,8.0,0.65,421.2,0,134,0,1,24
147,611,1404.0,2808,6.66,13.33,1,6.5,0.0,0.0,0,182,1,2,27
148,3709,324.0,324,8.0,8.0,1,10.0,0.84,272.16,0,0,0,1,3
149,5780,1080.0,1080,5.33,5.33,0,,0.0,0.0,0,19,0,1,13
150,6226,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
151,6377,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
152,6761,2160.0,2160,6.11,6.11,1,10.0,0.14,302.4,0,146,0,1,23
153,6931,2160.0,2160,10.13,10.13,1,5.0,0.38,820.8,0,357,0,1,27
154,7266,1620.0,1620,4.1,4.1,0,,0.35,567.0,0,92,0,1,19
155,8447,2160.0,2160,9.66,9.66,0,,0.0,0.0,0,0,0,1,3
156,13101,1620.0,1620,7.74,7.74,0,,0.9,1458.0,0,72,0,1,20
157,14577,1080.0,1080,19.73,19.73,0,,0.0,0.0,0,5,0,1,15
158,16514,1620.0,1620,5.33,5.33,0,,0.02,32.4,0,214,0,1,25
159,17318,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,17,1,1,13
160,17585,1188.0,4752,9.84,39.36,1,9.4,0.0,0.0,0,374,1,4,27
161,19364,1080.0,1080,7.96,7.96,1,8.0,0.99,1069.2,0,116,0,1,20
162,21381,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,1,0,1,10
163,21477,2160.0,2160,5.33,5.33,1,6.0,0.04,86.4,0,220,0,1,25
164,22033,648.0,648,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
165,22544,1620.0,1620,10.13,10.13,0,,0.12,194.4,0,0,0,1,3
166,23164,648.0,648,5.33,5.33,1,10.0,0.0,0.0,0,0,0,1,1
167,24108,2160.0,2160,10.13,10.13,1,5.0,0.0,0.0,0,0,0,1,3
168,24151,648.0,648,9.66,9.66,0,,0.33,213.84,0,0,0,1,3
169,24560,1620.0,1620,5.33,5.33,1,6.5,0.0,0.0,1,330,1,1,25
170,24683,2160.0,2160,10.13,10.13,1,8.0,1.0,2160.0,0,291,0,1,27
171,24727,648.0,648,10.13,10.13,0,,0.16,103.68,0,0,0,1,3
172,24818,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,110,1,1,19
173,27203,1116.0,3348,9.56,28.69,0,,0.0,0.0,0,0,1,3,9
174,27456,1620.0,1620,7.74,7.74,1,8.0,0.42,680.4,0,352,0,1,26
175,27753,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,91,1,1,19
176,28103,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,356,1,1,25
177,31345,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
178,31358,2160.0,2160,10.13,10.13,1,9.0,0.39,842.4,0,56,0,1,18
179,33391,1620.0,1620,9.77,9.77,0,,0.06,97.2,0,375,0,1,27
180,678,2160.0,2160,8.0,8.0,0,,0.58,1252.8,0,138,0,1,24
181,4849,2160.0,2160,6.11,6.11,0,,0.0,0.0,0,0,0,1,2
182,5564,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,19,1,1,13
183,5934,648.0,648,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
184,6111,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
185,7050,2160.0,2160,11.35,11.35,0,,0.0,0.0,0,0,0,1,3
186,7562,648.0,648,8.0,8.0,0,,0.0,0.0,0,45,1,1,18
187,8441,1476.0,4428,10.84,32.53,1,10.0,0.0,0.0,0,8,1,3,18
188,10630,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
189,10977,1620.0,1620,10.13,10.13,0,,0.8,1296.0,1,52,0,1,18
190,11502,648.0,648,10.13,10.13,1,9.0,0.48,311.04,0,104,0,1,21
191,11684,648.0,648,7.99,7.99,0,,0.29,187.92,0,31,0,1,17
192,11894,2160.0,2160,5.33,5.33,0,,0.33,712.8,0,333,0,1,25
193,12719,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
194,13806,2160.0,2160,12.8,12.8,0,,0.24,518.4,0,5,0,1,15
195,14077,1620.0,1620,9.77,9.77,1,8.0,0.3,486.0,0,2,0,1,12
196,14811,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,85,1,1,19
197,15138,1620.0,1620,22.1,22.1,1,8.0,0.14,226.8,0,313,0,1,27
198,16505,2160.0,2160,10.13,10.13,0,,0.02,43.2,0,162,0,1,24
199,17290,1620.0,1620,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
200,17947,684.0,2052,5.78,17.34,1,9.0,0.0,0.0,0,326,1,3,27
201,18307,2160.0,2160,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
202,19134,2160.0,2160,5.33,5.33,0,,0.45,972.0,0,43,0,1,16
203,19493,540.0,540,10.07,10.07,0,,0.5,270.0,0,95,0,1,21
204,20971,1080.0,1080,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
205,24567,2160.0,2160,5.33,5.33,0,,0.07,151.2,0,290,0,1,25
206,24867,2160.0,2160,5.33,5.33,0,,0.02,43.2,0,58,0,1,16
207,24879,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
208,29826,2160.0,2160,5.33,5.33,0,,0.34,734.4,0,330,0,1,25
209,29999,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,12,0,1,13
210,33304,2160.0,2160,25.6,25.6,1,10.0,0.57,1231.2,0,54,0,1,18
211,604,1620.0,1620,8.96,8.96,0,,0.09,145.8,0,0,0,1,3
212,1201,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,0,1,1,3
213,9568,1620.0,1620,7.74,7.74,0,,0.0,0.0,0,117,1,1,20
214,14006,1080.0,1080,10.13,10.13,0,,0.18,194.4,0,27,0,1,18
215,16160,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
216,16341,1620.0,1620,7.74,7.74,0,,0.19,307.8,0,60,0,1,20
217,20068,2160.0,2160,10.62,10.62,1,10.0,0.0,0.0,0,0,0,1,3
218,25051,1620.0,1620,10.13,10.13,0,,0.02,32.4,0,323,0,1,27
219,25937,2160.0,2160,5.33,5.33,0,,0.03,64.8,0,333,0,1,25
220,3327,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
221,5701,2160.0,2160,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
222,5943,648.0,648,7.74,7.74,0,,0.0,0.0,0,39,0,1,17
223,6091,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,105,0,1,19
224,6711,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
225,7208,2160.0,2160,7.74,7.74,0,,0.0,0.0,0,266,0,1,26
226,7971,1620.0,1620,13.45,13.45,1,8.0,0.43,696.6,0,218,0,1,27
227,8832,1080.0,1080,10.13,10.13,0,,0.0,0.0,0,147,1,1,24
228,9034,324.0,324,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
229,11171,1080.0,1080,8.0,8.0,0,,0.02,21.6,0,0,0,1,3
230,12501,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,247,1,1,25
231,12590,2160.0,2160,8.0,8.0,0,,0.05,108.0,0,94,0,1,21
232,12844,2160.0,2160,25.6,25.6,0,,0.09,194.4,0,7,0,1,15
233,14120,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
234,15669,1620.0,1620,7.74,7.74,1,8.0,0.42,680.4,0,240,0,1,26
235,17549,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,366,1,1,25
236,18413,2160.0,2160,5.33,5.33,0,,0.1,216.0,0,349,0,1,25
237,18592,1620.0,1620,7.87,7.87,1,10.0,0.0,0.0,0,0,0,1,3
238,20099,2160.0,2160,5.33,5.33,1,10.0,0.07,151.2,0,19,0,1,13
239,20147,1620.0,1620,7.74,7.74,0,,0.16,259.2,0,34,0,1,17
240,22456,2160.0,2160,10.13,10.13,1,10.0,0.0,0.0,0,34,1,1,18
241,25754,648.0,648,7.99,7.99,0,,0.02,12.96,0,53,0,1,17
242,26667,2160.0,2160,25.6,25.6,0,,0.26,561.6,2,97,0,1,21
243,26813,648.0,648,10.13,10.13,0,,0.43,278.64,0,49,0,1,18
244,27121,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
245,28243,540.0,540,10.13,10.13,0,,0.64,345.6,0,117,0,1,21
246,29014,1674.0,3348,5.16,10.33,0,,0.0,0.0,0,250,1,2,27
247,29048,648.0,648,8.0,8.0,0,,0.09,58.32,0,0,0,1,3
248,29374,2160.0,2160,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
249,31180,1620.0,1620,8.0,8.0,0,,0.0,0.0,0,11,0,1,15
250,74,2160.0,2160,8.0,8.0,0,,0.0,0.0,0,280,0,1,26
251,137,2160.0,2160,8.0,8.0,1,9.0,0.16,345.6,0,199,0,1,24
252,469,540.0,540,7.74,7.74,0,,0.04,21.6,0,12,0,1,14
253,596,1620.0,1620,8.0,8.0,0,,0.03,48.6,0,108,0,1,21
254,929,648.0,648,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
255,1103,648.0,648,10.13,10.13,1,10.0,0.89,576.72,0,244,0,1,27
256,3093,1080.0,1080,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
257,3677,2160.0,2160,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
258,4596,2160.0,2160,10.13,10.13,1,8.0,0.68,1468.8,0,367,0,1,27
259,5029,2160.0,2160,5.33,5.33,1,10.0,0.25,540.0,0,54,0,1,16
260,5549,1620.0,1620,10.98,10.98,0,,0.0,0.0,1,301,1,1,27
261,5735,2160.0,2160,13.33,13.33,0,,0.27,583.2,0,51,0,1,18
262,6388,2160.0,2160,10.13,10.13,0,,0.03,64.8,0,25,0,1,18
263,6738,2160.0,2160,8.62,8.62,0,,0.02,43.2,0,10,0,1,15
264,8333,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,329,1,1,27
265,8566,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
266,8995,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
267,9508,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,0,1,1,3
268,9623,2160.0,2160,5.33,5.33,1,6.0,0.0,0.0,0,0,1,1,1
269,10304,2160.0,2160,7.96,7.96,0,,0.07,151.2,0,248,0,1,26
270,11745,324.0,324,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
271,11849,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
272,11941,2160.0,2160,7.96,7.96,0,,0.08,172.8,0,7,0,1,14
273,13879,2160.0,2160,10.13,10.13,0,,0.0,0.0,0,2,0,1,12
274,15212,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,1,1,1
275,15718,1080.0,1080,8.0,8.0,0,,0.12,129.6,0,339,0,1,26
276,16156,324.0,324,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
277,16224,2160.0,2160,5.33,5.33,0,,0.45,972.0,0,162,0,1,22
278,17740,324.0,324,10.13,10.13,0,,0.0,0.0,0,0,1,1,3
279,18806,324.0,324,50.67,50.67,0,,0.0,0.0,0,0,1,1,3
280,20866,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,3,0,1,11
281,21020,1890.0,3780,6.67,13.33,0,,0.0,0.0,0,0,1,2,9
282,21082,1620.0,1620,7.99,7.99,0,,0.0,0.0,0,6,0,1,14
283,21244,1620.0,1620,11.35,11.35,0,,0.4,648.0,0,27,0,1,18
284,22207,648.0,648,10.13,10.13,0,,0.0,0.0,0,95,0,1,21
285,23567,648.0,648,8.0,8.0,0,,0.86,557.28,0,47,0,1,18
286,23811,1620.0,1620,10.13,10.13,0,,0.58,939.6,0,36,0,1,18
287,25446,648.0,648,8.0,8.0,0,,0.94,609.12,0,69,0,1,21
288,26881,324.0,324,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
289,30064,648.0,648,8.0,8.0,1,9.0,1.0,648.0,0,130,0,1,24
290,30566,1620.0,1620,10.62,10.62,1,10.0,0.0,0.0,0,69,1,1,21
291,31510,2160.0,2160,7.74,7.74,0,,0.0,0.0,0,212,1,1,26
292,705,324.0,324,10.13,10.13,1,9.0,0.0,0.0,1,334,1,1,27
293,4108,1674.0,3348,5.33,10.66,0,,0.0,0.0,0,119,1,2,27
294,6928,540.0,540,10.13,10.13,0,,0.04,21.6,0,9,0,1,15
295,7228,324.0,324,8.0,8.0,0,,0.0,0.0,0,0,0,1,3
296,7459,1656.0,4968,8.53,25.6,1,10.0,0.0,0.0,0,3,1,3,18
297,8951,648.0,648,19.73,19.73,0,,0.08,51.84,0,1,0,1,12
298,10275,1002.857143,7020,6.61,46.28,0,,0.0,0.0,0,77,1,7,27
299,10852,1152.0,3456,9.24,27.73,0,,0.0,0.0,2,98,1,3,27
300,13619,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,0,0,1,1
301,13956,1620.0,1620,10.13,10.13,0,,0.0,0.0,0,20,0,1,15
302,15643,1620.0,1620,24.36,24.36,1,9.0,0.3,486.0,0,293,0,1,27
303,16686,2160.0,2160,10.13,10.13,0,,0.0,0.0,0,2,1,1,12
304,19454,1080.0,1080,7.96,7.96,1,10.0,0.22,237.6,0,113,0,1,20
305,20045,1620.0,1620,10.13,10.13,0,,0.23,372.6,0,0,0,1,3
306,21773,1620.0,1620,10.98,10.98,0,,0.89,1441.8,1,271,0,1,27
307,22146,1080.0,1080,10.13,10.13,1,10.0,1.0,1080.0,0,234,0,1,27
308,24236,2160.0,2160,9.66,9.66,0,,0.34,734.4,0,295,0,1,27
309,26618,1620.0,1620,10.13,10.13,1,6.0,0.56,907.2,0,23,0,1,15
310,26656,648.0,648,10.13,10.13,0,,1.0,648.0,0,3,0,1,12
311,27110,1620.0,1620,12.8,12.8,1,10.0,0.92,1490.4,1,146,0,1,24
312,28398,324.0,324,10.18,10.18,0,,0.0,0.0,0,0,1,1,3
313,28506,1674.0,3348,6.7,13.41,1,10.0,0.0,0.0,0,299,1,2,27
314,29159,2160.0,2160,10.13,10.13,0,,0.0,0.0,0,1,0,1,12
315,29204,1080.0,1080,10.13,10.13,0,,0.18,194.4,0,0,0,1,3
316,29460,2160.0,2160,10.13,10.13,0,,0.0,0.0,0,0,0,1,3
317,31346,2160.0,2160,9.77,9.77,0,,0.03,64.8,0,16,0,1,15
318,774,2160.0,2160,5.33,5.33,0,,0.0,0.0,0,309,0,1,25
319,1252,1620.0,1620,10.13,10.13,0,,0.31,502.2,0,366,0,1,27
320,3371,1404.0,2808,7.73,15.46,1,9.0,0.0,0.0,0,227,1,2,27
321,6280,1620.0,1620,10.13,10.13,0,,0.14,226.8,0,79,0,1,21
322,7696,648.0,648,12.8,12.8,0,,0.0,0.0,1,27,1,1,18
323,7763,1620.0,1620,10.13,10.13,0,,0.32,518.4,0,5,0,1,15
324,12780,2160.0,2160,12.8,12.8,1,10.0,0.8,1728.0,0,62,0,1,21
